SpellId,EffectIndex,AuraType,Mechanic
5403,1,12,12
5424,1,26,0
5484,0,7,5
5530,0,12,12
5531,0,12,12
5543,1,7,0
5567,0,26,7
5573,0,25,25
5588,0,12,12
5589,0,12,12
5599,1,25,25
5627,0,7,23
5648,0,12,12
5649,0,12,12
5703,0,12,12
5708,1,12,12
5726,0,12,0
5727,0,12,0
5782,0,7,5
5918,1,12,12
5951,0,12,0
6131,1,26,0
6145,1,26,0
6213,0,7,5
6215,0,7,5
6243,0,7,0
6253,0,12,12
6266,1,12,12
6271,0,12,0
6304,0,12,12
6358,0,12,1
6409,1,12,12
6432,0,12,0
6435,0,12,12
6462,0,25,0
6466,1,12,12
6524,0,12,12
6533,0,26,7
6537,0,12,0
6538,2,26,0
6544,2,12,0
6576,0,7,0
6580,0,12,0
6605,0,7,5
6607,0,12,12
6614,1,7,0
6664,0,12,0
6669,0,7,0
6714,1,26,0
6716,0,26,0
6726,0,27,9
6728,0,12,12
6730,0,12,12
6749,0,12,12
6754,0,12,0
6770,0,12,14
6772,0,12,0
6789,1,7,0
6798,0,12,12
6869,0,12,0
6894,0,12,0
6927,0,12,12
6942,0,27,9
6945,0,12,12
6982,0,12,12
7033,0,2,0
7056,0,25,0
7074,0,27,9
7082,1,12,0
7093,0,7,5
7136,1,26,0
7139,1,12,12
7144,0,12,0
7184,0,12,0
7267,0,12,0
7295,1,26,0
7399,0,7,5
7586,1,26,0
7587,1,26,0
7621,0,6,0
7645,0,6,1
7670,0,12,0
7761,0,26,0
7761,1,26,0
7803,0,12,12
7922,0,12,12
7950,0,26,0
7961,0,12,0
7964,0,12,12
7967,0,12,10
7967,1,6,10
8040,0,12,10
8041,1,27,0
8064,0,12,0
8122,0,7,5
8124,0,7,5
8142,1,26,7
8150,1,12,12
8151,1,12,0
8208,0,12,12
8225,0,7,5
8242,0,12,12
8281,1,27,9
8285,1,12,12
8312,0,26,7
8338,1,12,0
8345,0,2,0
8346,0,26,7
8359,0,60,0
8377,0,26,7
8391,1,12,12
8399,0,12,10
8510,1,12,0
8511,1,12,0
8611,1,12,0
8629,2,12,14
8643,0,12,12
8646,0,12,12
8672,0,12,0
8715,0,7,5
8739,0,12,0
8817,0,12,0
8817,1,7,0
8893,0,12,0
8901,0,12,10
8902,0,12,10
8983,0,12,12
8988,0,27,9
8994,0,12,18
9005,0,12,12
9032,0,12,0
9159,0,12,10
9179,0,12,0
9256,0,12,0
9438,1,25,0
9454,0,12,0
9458,0,12,0
9458,1,7,0
9484,0,12,20
9485,0,12,20
9552,2,27,9
9576,1,26,0
9632,1,26,0
9823,0,12,12
9827,0,12,12
9852,0,26,7
9853,0,26,7
9915,1,26,7
9992,0,5,0
10017,1,26,7
10093,1,27,0
10134,0,5,0
10230,1,26,0
10234,0,12,10
10278,1,25,25
10308,0,12,12
10326,0,7,23
10451,1,12,0
10576,0,27,0
10730,0,25,0
10737,1,12,0
10794,0,12,0
10794,1,26,0
10805,1,26,0
10834,1,26,0
10835,1,26,0
10836,1,26,0
10852,0,26,7
10856,0,12,12
10888,0,7,5
10890,0,7,5
10911,0,2,1
10912,0,2,1
10955,0,12,20
11020,0,12,12
11264,1,26,7
11285,2,12,14
11286,2,12,14
11297,0,12,14
11428,0,12,12
11430,0,12,12
11444,0,12,0
11446,0,2,1
11481,1,12,0
11641,1,5,17
11650,0,12,12
11725,0,6,1
11726,0,6,1
11820,0,26,7
11831,1,26,7
11836,1,12,12
11876,0,12,12
11922,0,26,7
11958,0,12,13
12023,0,26,7
12024,0,26,7
12096,0,7,5
12098,0,12,10
12134,2,12,0
12241,1,26,0
12242,0,26,0
12252,0,26,7
12355,0,12,12
12421,1,12,12
12461,0,12,12
12483,0,6,0
12494,0,26,7
12509,0,26,0
12520,1,26,0
12521,0,26,0
12528,0,27,9
12540,1,12,14
12542,0,7,5
12543,1,12,12
12562,1,12,12
12613,0,7,0
12674,1,26,7
12730,0,7,5
12730,1,26,5
12734,1,12,12
12747,0,26,7
12748,1,26,7
12798,0,12,12
12809,0,12,12
12824,0,5,17
12825,0,5,17
12826,0,5,17
12888,0,6,0
12890,0,12,0
12943,0,27,0
12946,0,27,9
13005,0,12,12
13007,0,25,0
13099,0,26,7
13119,0,26,7
13138,0,26,7
13158,0,5,0
13181,0,6,1
13235,0,12,0
13237,1,12,12
13238,1,12,0
13323,0,5,17
13327,0,12,14
13360,0,12,0
13466,1,5,0
13488,0,7,0
13488,1,5,0
13579,1,12,14
13608,0,26,7
13704,0,7,5
13711,1,12,0
13808,1,12,12
13902,0,12,12
13907,1,12,0
14030,0,26,7
14100,0,7,5
14102,1,12,12
14308,0,12,13
14309,0,12,13
14326,0,7,5
14327,0,7,5
14515,0,6,1
14621,0,5,17
14821,0,12,0
14823,0,12,0
14870,0,12,0
14871,1,12,0
14902,0,12,12
14907,1,26,7
15056,0,26,0
15063,1,26,7
15252,0,12,0
15269,0,12,12
15283,0,12,12
15398,0,12,12
15471,0,26,7
15471,2,27,7
15474,0,26,7
15487,0,27,9
15531,1,26,7
15532,1,26,7
15534,0,5,17
15535,0,12,12
15593,0,12,12
15609,0,26,7
15618,0,12,12
15621,1,12,12
15652,1,12,12
15655,0,12,12
15660,0,12,0
15753,0,12,12
15822,0,12,10
15859,0,6,1
15878,0,12,12
15970,0,12,10
16045,0,12,18
16053,0,2,1
16075,1,12,12
16096,0,12,5
16097,1,5,17
16104,0,12,12
16310,0,12,0
16350,1,12,12
16420,2,5,0
16451,0,12,18
16452,1,12,0
16469,0,26,7
16470,1,60,0
16497,1,12,12
16508,0,26,5
16508,1,7,5
16566,0,26,7
16600,0,12,12
16707,1,5,17
16708,1,5,17
16709,1,5,17
16727,0,12,12
16790,0,12,12
16798,0,12,10
16803,1,12,12
16805,1,5,0
16838,0,27,9
16869,0,12,12
16922,0,12,12
17011,0,12,12
17172,1,5,17
17177,1,25,0
17244,0,6,0
17250,2,12,0
17272,1,12,0
17276,1,12,12
17286,0,12,12
17293,0,12,12
17307,2,12,0
17308,0,12,12
17333,0,26,0
17398,0,12,0
17405,0,6,1
17446,0,60,0
17492,1,12,0
17500,0,12,12
17507,0,26,0
17624,0,12,0
17651,1,12,0
17691,0,12,0
17738,0,5,17
17743,0,26,0
17772,0,5,0
17774,0,5,0
17925,1,7,0
17926,1,7,0
17928,0,7,5
18093,0,12,12
18102,1,12,12
18103,0,12,12
18144,1,12,12
18278,0,27,9
18327,0,27,9
18373,0,26,0
18395,1,12,12
18425,0,27,9
18430,0,26,0
18431,0,7,5
18469,0,27,9
18498,0,27,9
18503,1,5,17
18546,0,26,0
18647,0,12,18
18657,0,12,10
18658,0,12,10
18763,1,12,12
18795,0,26,0
18798,0,12,0
18812,0,12,12
18953,0,26,0
19128,0,12,12
19134,1,7,5
19136,1,12,12
19185,0,26,7
19229,0,26,7
19306,1,26,0
19364,0,12,12
19369,0,5,0
19386,0,12,10
19393,1,27,9
19408,0,7,5
19410,0,12,12
19469,0,6,1
19482,0,12,12
19501,1,5,2
19503,1,5,2
19597,0,6,0
19636,0,26,0
19641,0,12,12
19675,1,26,0
19676,0,6,0
19677,0,6,0
19678,0,6,0
19679,0,6,0
19680,0,6,0
19681,0,6,0
19682,0,6,0
19683,0,6,0
19684,0,6,0
19685,0,6,0
19686,0,6,0
19695,1,26,0
19695,2,25,0
19725,0,7,0
19753,1,12,0
19769,1,12,12
19780,0,12,12
19784,1,12,12
19821,1,27,9
19832,0,2,0
19872,0,12,0
19951,0,25,0
19970,0,26,7
19971,0,26,7
19972,0,26,7
19973,0,26,7
19974,0,26,7
19975,0,26,7
20019,1,5,0
20066,0,12,14
20170,0,12,12
20253,0,12,12
20276,0,12,12
20277,0,12,12
20310,0,12,12
20478,1,25,0
20478,2,26,0
20507,2,5,0
20511,0,12,5
20548,0,26,0
20549,0,12,12
20604,0,6,1
20614,0,12,12
20615,0,12,12
20654,0,26,7
20663,0,12,10
20668,0,6,0
20669,0,12,10
20672,1,7,0
20683,0,12,12
20685,1,12,12
20699,0,26,7
20740,0,6,1
20861,0,26,0
20882,0,6,1
20909,1,26,0
20910,1,26,0
20989,0,12,10
21060,1,5,0
21099,1,12,12
21152,0,12,12
21167,0,12,0
21173,0,26,0
21188,1,12,0
21330,1,7,5
21331,0,26,7
21556,0,2,0
21566,0,2,0
21748,1,12,12
21749,1,12,12
21808,1,12,0
21835,0,6,0
21847,1,12,0
21848,1,12,0
21859,0,25,0
21869,0,7,5
21898,0,7,5
21909,1,26,0
21916,0,26,0
21936,1,12,0
21980,1,12,0
21990,0,12,12
22127,0,26,7
22274,0,5,17
22289,0,12,12
22291,1,12,0
22357,1,12,0
22415,0,26,7
22427,1,12,12
22519,1,12,7
22561,0,12,0
22566,1,5,17
22570,1,12,14
22592,0,12,12
22645,1,26,7
22651,1,12,0
22666,0,27,9
22667,0,6,0
22678,0,7,5
22686,0,7,5
22692,0,12,12
22703,1,12,0
22707,0,26,0
22744,0,26,7
22787,0,12,0
22800,0,26,7
22856,0,12,0
22884,0,7,5
22901,0,2,0
22911,2,12,0
22915,0,12,12
22924,1,26,7
22935,1,26,0
22994,0,26,7
23010,1,60,0
23023,1,5,0
23055,1,12,0
23103,0,12,12
23171,0,12,0
23174,1,6,0
23186,0,12,0
23207,0,27,9
23269,0,12,0
23275,0,7,5
23279,0,26,0
23310,0,12,0
23312,0,12,0
23364,0,12,12
23414,0,26,0
23417,1,27,0
23444,1,12,0
23447,0,12,0
23454,0,12,12
23456,1,12,0
23457,1,12,0
23601,1,5,0
23603,0,5,17
23694,0,26,7
23775,0,12,0
23918,1,27,9
23919,1,12,12
23973,0,26,0
24004,0,12,10
24020,1,12,0
24048,1,12,0
24053,1,5,17
24057,0,5,0
24110,0,26,7
24110,2,27,7
24132,0,12,10
24133,0,12,10
24152,0,26,7
24170,0,26,0
24178,0,6,0
24193,2,12,0
24213,1,12,12
24259,0,27,9
24261,0,6,0
24324,1,12,0
24327,0,6,1
24333,1,12,12
24335,0,12,10
24346,1,60,0
24360,0,12,10
24375,0,12,12
24394,1,12,12
24408,2,12,0
24594,0,12,0
24600,0,12,12
24619,1,27,0
24647,0,12,0
24648,0,26,7
24664,0,12,10
24671,0,12,12
24686,0,12,0
24687,1,27,9
24690,0,12,0
24698,1,12,14
24700,1,12,0
24732,1,27,0
24740,1,60,0
24753,1,27,0
24753,2,25,0
24754,0,12,0
24778,0,12,10
24811,1,12,0
24883,0,12,0
24919,0,12,0
24935,1,26,0
24937,0,2,0
24937,2,25,0
25006,1,26,0
25043,0,12,0
25056,0,12,12
25161,1,27,0
25189,0,12,12
25260,0,7,5
25371,1,12,0
25374,0,26,0
25425,1,12,0
25495,0,12,0
25515,0,12,0
25654,0,12,12
25656,2,27,0
25685,0,12,0
25698,1,12,0
25725,1,12,0
25756,2,12,0
25772,1,6,0
25774,1,12,0
25806,0,6,0
25815,0,7,5
25821,2,12,0
25852,0,12,12
25900,0,12,12
25937,0,12,0
25999,0,26,7
26042,0,7,5
26044,2,7,0
26049,1,7,0
26053,1,27,0
26061,1,12,0
26069,0,27,9
26070,0,7,5
26071,0,26,7
26079,0,6,0
26102,1,12,0
26108,1,5,2
26115,0,26,0
26180,0,12,10
26195,0,6,0
26196,1,12,0
26197,0,6,0
26198,0,6,0
26222,1,12,0
26258,0,6,0
26259,0,6,0
26332,1,12,0
26382,1,12,0
26552,0,12,0
26580,0,7,5
26637,1,12,0
26641,0,7,5
27177,1,12,0
27553,1,12,0
27559,0,27,9
27565,0,12,18
27610,0,7,5
27615,0,12,12
27619,0,12,13
27620,2,27,0
27641,0,7,5
27747,2,25,0
27758,0,12,12
27760,0,5,17
27792,2,26,0
27795,0,25,0
27808,0,12,0
27814,2,27,0
27868,0,26,0
27880,0,12,12
27990,0,7,5
28127,0,12,0
28160,0,12,0
28171,0,6,0
28270,0,5,17
28271,0,5,17
28272,0,5,17
28314,0,12,12
28315,0,7,5
28323,0,12,0
28335,1,12,0
28374,1,12,0
28412,1,7,0
28445,0,12,12
28450,0,12,0
28456,1,12,14
28522,0,12,0
28618,2,60,0
28619,2,60,0
28620,2,60,0
28621,2,60,0
28622,0,12,0
28725,0,12,12
28782,0,12,0
28786,1,27,0
28786,2,25,0
28858,0,26,7
28991,0,26,7
29111,0,7,0
29124,0,7,0
29168,0,7,5
29419,0,7,5
29484,0,12,0
29544,0,12,5
29685,0,7,5
29825,0,12,0
29826,0,12,0
29848,0,5,17
29849,1,26,7
29943,0,27,9
30001,0,7,5
30002,0,7,5
30094,1,26,7
30112,2,12,0
30225,0,27,9
31248,0,12,0
31362,2,26,0
31365,0,7,5
31366,0,26,0
