SpellVisualID,SpellVisualKitID
1587,345
1623,114
1643,345
1664,1584
1683,114
1703,358
1704,358
1705,358
1706,358
1707,358
1708,358
1709,358
1711,186
1723,186
1844,1764
1883,1806
1906,1764
1907,801
1926,345
1927,124
1929,137
1930,266
1946,30
1966,1884
2026,171
2027,171
2046,266
2049,30
2107,60
2109,799
2126,358
2147,2024
2186,2065
2206,443
2253,30
2254,2065
2255,217
2258,345
2295,266
2315,194
2318,114
2335,195
2336,2024
2437,60
2476,217
2518,266
2536,801
2576,217
2577,114
2596,2349
2598,217
2599,2349
2618,266
2641,4090
2719,43
2737,217
2738,2065
2739,2065
2740,2065
2741,2065
2797,372
2798,372
2799,372
2899,2613
2918,99
2936,99
2976,185
3057,114
3058,36
3076,217
3077,99
3119,790
3138,36
3182,2889
3220,2891
3223,345
3283,899
3319,36
3324,358
3325,358
3326,358
3327,171
3339,193
3360,114
3400,60
3404,345
3419,186
3420,2991
3444,36
3445,30
3459,2065
3460,60
3479,60
3500,238
3519,899
3520,238
3579,801
3581,403
3582,217
3583,60
3639,801
3643,193
3659,192
3739,899
3779,266
3781,60
3782,194
3819,3271
3860,3290
3881,4091
3884,100
3885,345
3919,266
3920,403
3939,114
3940,307
3959,30
3962,899
3979,3382
4000,36
4019,194
4020,2065
4040,36
4043,137
4044,194
4048,2065
4049,2024
4050,186
4054,137
4055,137
4056,266
4057,195
4062,790
4080,3470
4081,171
4082,217
4084,217
4200,3590
4202,36
4204,3593
4208,114
4209,114
4219,266
4220,266
4221,99
4222,266
4223,266
4227,345
4228,345
4231,266
4239,266
4279,345
4302,199
4305,4289
4321,60
4323,43
4325,195
4340,200
4344,99
4346,338
4360,266
4363,403
4370,223
4372,266
4379,3774
4401,518
4419,799
4439,3790
4479,171
4483,345
4485,193
4486,60
4487,266
4559,790
4580,217
4581,266
4582,137
4619,114
4659,266
4660,266
4661,266
4719,4089
4761,114
4800,400
4801,217
4802,2065
4822,137
4823,195
4825,4192
4859,217
4919,4849
4920,266
4921,4449
4939,4310
4959,137
4960,99
4963,217
4999,36
5019,114
5159,195
5160,358
5161,801
5199,30
5220,171
5282,114
5300,790
5304,266
5305,60
5308,403
5359,30
5360,30
5362,30
5400,186
5402,99
5419,60
5420,60
5421,171
5439,171
5441,3271
5445,6071
5499,159
5599,217
5621,192
5649,60
5659,30
5699,266
5721,30
5722,5093
5779,899
5780,266
5781,100
5789,217
5790,217
5791,217
5792,217
5795,5149
5923,36
5924,171
5939,195
5940,5331
5979,5370
5980,30
6040,345
6045,5469
6139,358
6179,5589
6399,60
6439,36
6440,114
6459,60
6482,5771
6499,197
6501,196
6505,60
6519,217
6540,195
6559,4451
6619,36
6623,99
6627,217
6683,6030
6685,217
6743,30
6760,171
6764,60
6765,197
6766,217
6767,171
6768,266
6769,163
6777,246
6779,2024
6780,2024
6803,60
6819,5370
6822,124
6826,137
6879,6190
6899,60
6939,6189
7039,5370
7160,192
7164,6329
7200,345
7201,99
7202,826
7221,193
7240,6349
7245,6356
7250,6408
7259,171
7261,6371
7275,6382
7276,5290
7279,403
7309,217
7313,137
7314,528
7322,358
7323,186
7325,403
7331,345
7337,99
7339,60
7340,171
7343,60
7350,60
7352,193
7356,4449
7360,6427
7363,266
7376,99
7377,6433
7379,99
7392,124
7400,403
7404,518
7422,5093
7424,266
7434,6486
7438,6473
7448,171
7451,43
7453,6491
7456,358
7460,345
7461,6498
7468,6433
7469,6433
7470,6433
7471,6433
7476,6433
7478,114
7479,171
7492,358
7513,307
7514,6533
7520,6537
7523,892
7526,171
7527,6546
7529,405
7534,6537
7535,217
7542,6371
7543,266
7549,345
7550,185
7553,193
7555,114
7564,6566
7575,6575
7583,266
7588,266
7592,142345
7604,6592
7613,345
7618,266
7621,6600
7624,266
7627,345
7634,60
7638,114
7640,60
7641,6644
7660,6623
7697,345
7783,6698
7843,30
10211,8225
106652,4090
106654,4090
112191,32
112192,60
112194,137
112197,217
112199,193
112200,114
112201,338
112800,60
112801,217
113698,5331
113699,5370
113701,4451
113702,4451
113732,154781
113920,137
113991,5331
114022,4451
114109,155324
114134,155367
114192,155543
114336,155543
114727,156250
